shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4525_55,53.3439962,-6.2680722,128,2545.03
4525_55,53.343941968023,-6.26833083815517,129,2563.284
4525_55,53.3438629,-6.2687093,130,2589.983
4525_55,53.3437265458254,-6.26942062802335,131,2639.732
4525_55,53.3436609,-6.2697638,132,2663.728
4525_55,53.3436173,-6.26996,133,2677.668
4525_55,53.3435842,-6.2700273,134,2683.47
4525_55,53.343572,-6.270052,135,2685.603
4525_55,53.3435197,-6.2700953,136,2692.099
4525_55,53.3434258,-6.2701456,137,2703.073
4525_55,53.3433374,-6.270204,138,2713.653
4525_55,53.3432592,-6.2702637,139,2723.221
4525_55,53.3432018,-6.2703649,140,2732.508
4525_55,53.3431669,-6.2704309,141,2738.374
4525_55,53.3431117,-6.2705743,142,2749.731
4525_55,53.3430802,-6.2707005,143,2758.838
4525_55,53.3430738,-6.2707474,144,2762.042
4525_55,53.3429902,-6.2709883,145,2780.59
4525_55,53.3429054,-6.2714076,146,2810.069
4525_55,53.3428935,-6.2714658,147,2814.166
4525_55,53.3428744,-6.2716361,148,2825.706
4525_55,53.3428701,-6.2717822,149,2835.449
4525_55,53.3428804,-6.2720247,150,2851.642
4525_55,53.342923,-6.2723064,151,2870.995
4525_55,53.343078,-6.2731005,152,2926.629
4525_55,53.343086068642,-6.27315227929819,153,2930.193
4525_55,53.3431931,-6.2738269,154,2976.678
4525_55,53.3432452,-6.2741552,155,2999.301
4525_55,53.3432825,-6.2745111,156,3023.367
4525_55,53.3432829,-6.2746088,157,3029.874
4525_55,53.3432804,-6.2747173,158,3037.106
4525_55,53.3432727,-6.2748756,159,3047.685
4525_55,53.3432208,-6.2752026,160,3070.218
4525_55,53.3431798,-6.2754554,161,3087.663
4525_55,53.3430802,-6.2759454,162,3122.131
4525_55,53.3430679,-6.2760296,163,3127.904
4525_55,53.3430668,-6.2761703,164,3137.276
4525_55,53.3429974322268,-6.27652265734362,165,3161.982
4525_55,53.3429533194429,-6.27674716804871,166,3177.722
4525_55,53.3429187,-6.2769237,167,3190.095
4525_55,53.3428815,-6.2771035,168,3202.766
4525_55,53.3428658,-6.2771805,169,3208.184
4525_55,53.3428228,-6.2774154,170,3224.546
4525_55,53.3428047,-6.2775367,171,3232.872
4525_55,53.3427956,-6.2776271,172,3238.978
4525_55,53.3427901,-6.2777499,173,3247.18
4525_55,53.3427853,-6.2779668,174,3261.637
4525_55,53.3427856,-6.278177,175,3275.638
4525_55,53.3427928,-6.2784979,176,3297.027
4525_55,53.3428129,-6.2791156,177,3338.231
4525_55,53.3428726,-6.2795578,178,3368.424
4525_55,53.3429186,-6.2798366,179,3387.687
4525_55,53.3429858,-6.2802443,180,3415.853
4525_55,53.3430472184375,-6.28054657695164,181,3437.115
4525_55,53.3430636383866,-6.28062728025778,182,3442.793
4525_55,53.3430972,-6.280792,183,3454.382
4525_55,53.3431612,-6.2811023,184,3476.243
4525_55,53.3431839,-6.281212,185,3483.974
4525_55,53.3432164,-6.2813603,186,3494.493
4525_55,53.3432444,-6.2815223,187,3505.725
4525_55,53.3432565,-6.2816428,188,3513.863
4525_55,53.3433051,-6.2821298,189,3546.748
4525_55,53.3433547,-6.2830145,190,3605.932
4525_55,53.3433938,-6.2837568,191,3655.564
4525_55,53.343425,-6.2842958,192,3691.632
4525_55,53.343448,-6.2845154,193,3706.481
4525_55,53.3434529,-6.2845799,194,3710.811
4525_55,53.3434801,-6.284856,195,3729.449
4525_55,53.3435233,-6.285423,196,3767.519
4525_55,53.3435287798254,-6.28550118097467,197,3772.762
4525_55,53.3435451506355,-6.28573304334093,198,3788.312
4525_55,53.3435623,-6.2859733,199,3804.428
4525_55,53.3435591,-6.2862805,200,3824.892
4525_55,53.3435404,-6.2866497,201,3849.571
4525_55,53.3435303,-6.2868824,202,3865.11
4525_55,53.3435258,-6.2869856,203,3872.002
4525_55,53.3435061,-6.2874423,204,3902.5
4525_55,53.3434988,-6.2875824,205,3911.867
4525_55,53.3434815,-6.2879175,206,3934.269
4525_55,53.3434731,-6.2881454,207,3949.477
4525_55,53.3434619,-6.2883533,208,3963.38
4525_55,53.3434565944631,-6.28846873644197,209,3971.092
4525_55,53.343445,-6.2887223,210,3988.03
4525_55,53.343429,-6.288927,211,4001.78
4525_55,53.343411210183,-6.28919365424623,212,4019.65
4525_55,53.3434006,-6.2893545,213,4030.428
4525_55,53.3433658,-6.2895512,214,4044.09
4525_55,53.3433517,-6.2896307,215,4049.613
4525_55,53.3433338,-6.2896959,216,4054.391
4525_55,53.3432784,-6.2899126,217,4070.086
4525_55,53.3432506,-6.2900292,218,4078.446
4525_55,53.3432122,-6.2901903,219,4089.996
4525_55,53.3431724,-6.2904124,220,4105.438
4525_55,53.3431395,-6.2905708,221,4116.606
4525_55,53.3430806,-6.290709,222,4127.906
4525_55,53.3430648,-6.2907906,223,4133.619
4525_55,53.3429838,-6.2912114,224,4163.06
4525_55,53.3428832,-6.2916679,225,4195.462
4525_55,53.3426968,-6.2925291,226,4256.46
4525_55,53.3425607,-6.2931669,227,4301.561
4525_55,53.3425492,-6.2932214,228,4305.41
4525_55,53.3425222,-6.2933431,229,4314.055
4525_55,53.3424796,-6.2935087,230,4326.061
4525_55,53.3424525737933,-6.29362948952518,231,4334.65
