stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8330B455821,455821.0,Sarsfield Square,,53.427512,-7.932411,,,,
8330B455831,455831.0,Regional Sports Centre,,53.42915,-7.922326,,,,
8330B455841,455841.0,Arcadia Crescent,,53.4315720527913,-7.92943979177832,,,,
8330B455851,455851.0,Arcadia,,53.4322688567452,-7.93813654181925,,,,
8330B455861,455861.0,Primary Care Centre,,53.433303,-7.940152,,,,
8330B455871,455871.0,Coosan Heath,,53.4366170039333,-7.93537611138006,,,,
8330B455881,455881.0,Coosan Road,,53.4352819283228,-7.92666456798136,,,,
8330B455891,455891.0,Clonbrusk,,53.4327711664598,-7.92125144613586,,,,
8330B455901,455901.0,Department of Education,,53.433629,-7.914102,,,,
8330B455911,455911.0,Woodville Road,,53.434499855594,-7.90138348161166,,,,
8330B455921,455921.0,Blyry Lower,,53.429853998627,-7.90177042076327,,,,
8330B455931,455931.0,Garrycastle,,53.424542,-7.90106,,,,
8330B455941,455941.0,Garrycastle,,53.4242906786098,-7.90118142623358,,,,
8330B455951,455951.0,Blyry Lower,,53.4292071600203,-7.90202771439416,,,,
8330B455961,455961.0,Woodville Road,,53.4344820681731,-7.90160925872335,,,,
8330B455971,455971.0,Department of Education,,53.433077,-7.908791,,,,
8330B455981,455981.0,Clonbrusk,,53.4327707781254,-7.92066455708903,,,,
8330B455991,455991.0,Coosan Road,,53.4351831106327,-7.92672493532877,,,,
8330B456001,456001.0,Coosan Heath,,53.436527176775,-7.935451496564,,,,
8330B456011,456011.0,Primary Care Centre,,53.433267,-7.939971,,,,
8330B456021,456021.0,Arcadia,,53.4323765889471,-7.93792570897711,,,,
8330B456031,456031.0,Arcadia Crescent,,53.431634906959,-7.92934939935981,,,,
8330B456041,456041.0,Grace Park Road,,53.427386,-7.932381,,,,
8330B456051,456051.0,Grace Park Road,,53.42476,-7.930038,,,,
8330B456061,456061.0,Luan Gallery,,53.424201,-7.943625,,,,
8330B456071,456071.0,Iona Park,,53.4261107114067,-7.95307121477294,,,,
8330B5001301,500131.0,Orwell Grove,,53.4226747851091,-7.97236254367298,,,,
8330B5001401,500141.0,Annesfield Woods,,53.4244872719011,-7.96199500024563,,,,
8330B5001501,500151.0,Mitchell's Terrace,,53.423614,-7.957903,,,,
8330B5001601,500161.0,Battery Heights,,53.4237472585129,-7.95326940588153,,,,
8330B5001701,500171.0,Pearse Street,,53.4227731108939,-7.94489045211356,,,,
8330B5001801,500181.0,John Broderick Street,,53.422238,-7.934962,,,,
8330B5001901,500191.0,Golden Island,,53.42132,-7.932631,,,,
8330B500221,500221.0,Golden Island,,53.420944,-7.934798,,,,
8330B525511,525511.0,Drumraney,,53.4803581067502,-7.75187453581048,,,,
8330B525551,525551.0,Drumraney,,53.4798828147071,-7.752359393847,,,,
8330B5534001,553401.0,Ballymore West,,53.4908382610394,-7.68062716735868,,,,
8330B553461,553461.0,Ballymore West,,53.4908450706605,-7.67981338646848,,,,
8330B5546201,554621.0,Castle Street,,53.4226641777525,-7.94257368074834,,,,
8330B5547001,554701.0,Connaught Street,,53.4218032271071,-7.94641120887136,,,,
8330B5547601,554761.0,Battery Heights,,53.4236303887805,-7.95316421745786,,,,
8330B5547701,554771.0,Mitchell's Terrace,,53.423515,-7.957798,,,,
8330B5547801,554781.0,Orwell Grove,,53.422405208596,-7.97248307682181,,,,
8330B5551001,555101.0,Athlone Station,,53.4267,-7.93536,,,,
8330B555391,555391.0,TUS East Campus,,53.41532,-7.898856,,,,
8330B5577101,557711.0,Glassan,,53.4710661045012,-7.86385459915819,,,,
8330B557741,557741.0,Glassan,,53.4709854983945,-7.86409584875816,,,,
8330B598101,598101.0,Loughnavalley,,53.486677,-7.526155,,,,
8330B598111,598111.0,Ballinea,,53.5069182871828,-7.42259087954219,,,,
8330B598131,598131.0,Killare,,53.4845042939329,-7.57954607559908,,,,
8330B598141,598141.0,Loughnavalley,,53.4867139042633,-7.52638055223486,,,,
8330B5981501,598151.0,Ballinea,,53.5070505311746,-7.42206145824475,,,,
8330B598181,598181.0,Killare,,53.4845274518731,-7.58102240079771,,,,
8330B598761,598761.0,Mullingar N4,,53.519945,-7.288477,,,,
8330B9910001,991001.0,Athlone Station,,53.42661,-7.93548,,,,
8330IR0107,,Athlone,,53.426785,-7.935736,,,,
8330IR0108,,Mullingar,,53.523035,-7.346082,,,,
8340B136281,136281.0,Bunclody,,52.6550305533369,-6.65214813689949,,,,
